,GAME_ID,PLAYER_NAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DATE
99,0022201168,Deni Avdija,F,34.000000:25,3.0,8.0,0.375,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,5.0,3.0,1.0,8.0,4.0,9.0,-3.0,2023-04-02
139,0022201151,Deni Avdija,F,31.000000:48,2.0,14.0,0.143,0.0,6.0,0.0,2.0,3.0,0.667,0.0,6.0,6.0,4.0,0.0,0.0,1.0,4.0,6.0,0.0,2023-03-31
166,0022201130,Deni Avdija,F,36.000000:31,10.0,16.0,0.625,2.0,5.0,0.4,3.0,5.0,0.6,0.0,10.0,10.0,5.0,1.0,0.0,4.0,1.0,25.0,12.0,2023-03-28
176,0022201119,Deni Avdija,F,34.000000:25,6.0,13.0,0.462,1.0,4.0,0.25,2.0,4.0,0.5,3.0,6.0,9.0,7.0,1.0,0.0,3.0,2.0,15.0,3.0,2023-03-26
213,0022201098,Deni Avdija,F,33.000000:32,9.0,14.0,0.643,3.0,6.0,0.5,0.0,1.0,0.0,0.0,11.0,11.0,6.0,1.0,0.0,2.0,4.0,21.0,0.0,2023-03-24
242,0022201083,Deni Avdija,F,31.000000:41,7.0,9.0,0.778,1.0,2.0,0.5,1.0,2.0,0.5,0.0,8.0,8.0,6.0,0.0,0.0,4.0,1.0,16.0,-23.0,2023-03-22
261,0022201077,Deni Avdija,,33.000000:57,5.0,6.0,0.833,3.0,4.0,0.75,2.0,3.0,0.667,0.0,10.0,10.0,3.0,2.0,0.0,4.0,2.0,15.0,-14.0,2023-03-21
302,0022201059,Deni Avdija,,28.000000:13,1.0,9.0,0.111,1.0,2.0,0.5,0.0,0.0,0.0,3.0,8.0,11.0,6.0,1.0,0.0,1.0,1.0,3.0,-2.0,2023-03-18
317,0022201049,Deni Avdija,,18.000000:26,0.0,3.0,0.0,0.0,3.0,0.0,2.0,4.0,0.5,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2023-03-17
355,0022201028,Deni Avdija,,28.000000:15,6.0,8.0,0.75,1.0,3.0,0.333,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,1.0,1.0,13.0,3.0,2023-03-14
371,0022201016,Deni Avdija,,23.000000:38,1.0,8.0,0.125,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,3.0,2023-03-12
411,0022200999,Deni Avdija,,17.000000:52,2.0,5.0,0.4,1.0,2.0,0.5,0.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,2.0,5.0,-19.0,2023-03-10
441,0022200985,Deni Avdija,,23.000000:07,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,3.0,0.0,0.0,3.0,3.0,2.0,-14.0,2023-03-08
455,0022200769,Deni Avdija,,20.000000:45,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,4.0,4.0,7.0,6.0,2023-03-07
493,0022200973,Deni Avdija,,31.000000:06,5.0,10.0,0.5,2.0,4.0,0.5,5.0,5.0,1.0,2.0,4.0,6.0,2.0,3.0,0.0,2.0,4.0,17.0,-13.0,2023-03-05
514,0022200956,Deni Avdija,,7.000000:20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2023-03-04
537,0022200942,Deni Avdija,,28.000000:27,2.0,7.0,0.286,0.0,3.0,0.0,2.0,3.0,0.667,1.0,8.0,9.0,3.0,0.0,1.0,0.0,2.0,6.0,-3.0,2023-03-02
543,0022200923,Deni Avdija,F,31.000000:08,2.0,9.0,0.222,0.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,2023-02-28
569,0022200912,Deni Avdija,F,27.000000:06,2.0,5.0,0.4,1.0,4.0,0.25,3.0,4.0,0.75,0.0,4.0,4.0,2.0,1.0,0.0,4.0,3.0,8.0,-16.0,2023-02-26
610,0022200895,Deni Avdija,,26.000000:52,5.0,7.0,0.714,1.0,3.0,0.333,0.0,0.0,0.0,0.0,7.0,7.0,5.0,1.0,0.0,0.0,0.0,11.0,9.0,2023-02-24
625,0022200884,Deni Avdija,,24.000000:13,3.0,8.0,0.375,0.0,1.0,0.0,4.0,5.0,0.8,3.0,6.0,9.0,4.0,2.0,0.0,1.0,4.0,10.0,12.0,2023-02-16
652,0022200872,Deni Avdija,,18.000000:03,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,2023-02-14
680,0022200866,Deni Avdija,,27.000000:13,3.0,10.0,0.3,1.0,5.0,0.2,0.0,0.0,0.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,3.0,7.0,13.0,2023-02-13
714,0022200849,Deni Avdija,,29.000000:52,7.0,8.0,0.875,1.0,2.0,0.5,1.0,2.0,0.5,0.0,6.0,6.0,3.0,0.0,1.0,2.0,2.0,16.0,16.0,2023-02-11
734,0022200823,Deni Avdija,F,36.000000:39,8.0,13.0,0.615,3.0,5.0,0.6,1.0,1.0,1.0,1.0,12.0,13.0,0.0,0.0,0.0,1.0,2.0,20.0,6.0,2023-02-08
759,0022200809,Deni Avdija,F,30.000000:02,3.0,10.0,0.3,1.0,4.0,0.25,5.0,5.0,1.0,0.0,4.0,4.0,3.0,2.0,0.0,3.0,2.0,12.0,-23.0,2023-02-06
777,0022200793,Deni Avdija,,34.000000:16,6.0,14.0,0.429,4.0,9.0,0.444,7.0,12.0,0.583,1.0,5.0,6.0,3.0,4.0,0.0,3.0,4.0,23.0,8.0,2023-02-04
812,0022200787,Deni Avdija,,15.000000:02,0.0,8.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2023-02-03
823,0022200760,Deni Avdija,,33.000000:18,10.0,12.0,0.833,2.0,2.0,1.0,3.0,4.0,0.75,1.0,8.0,9.0,1.0,1.0,1.0,2.0,4.0,25.0,25.0,2023-01-30
845,0022200747,Deni Avdija,,27.000000:21,5.0,8.0,0.625,1.0,3.0,0.333,4.0,6.0,0.667,0.0,9.0,9.0,1.0,2.0,0.0,1.0,2.0,15.0,14.0,2023-01-28
869,0022200722,Deni Avdija,,29.000000:58,4.0,13.0,0.308,1.0,4.0,0.25,1.0,2.0,0.5,2.0,8.0,10.0,3.0,1.0,1.0,0.0,3.0,10.0,7.0,2023-01-25
896,0022200717,Deni Avdija,,32.000000:07,3.0,5.0,0.6,0.0,1.0,0.0,9.0,11.0,0.818,2.0,8.0,10.0,3.0,3.0,0.0,1.0,3.0,15.0,4.0,2023-01-24
935,0022200693,Deni Avdija,,24.000000:40,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,2023-01-21
948,0022200669,Deni Avdija,,29.000000:05,6.0,11.0,0.545,2.0,3.0,0.667,0.0,1.0,0.0,3.0,4.0,7.0,1.0,1.0,1.0,0.0,3.0,14.0,-11.0,2023-01-18
985,0022200660,Deni Avdija,,13.000000:57,3.0,9.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,4.0,6.0,-4.0,2023-01-16
1013,0022200634,Deni Avdija,,25.000000:59,1.0,5.0,0.2,0.0,4.0,0.0,1.0,1.0,1.0,2.0,7.0,9.0,2.0,0.0,0.0,0.0,4.0,3.0,-2.0,2023-01-13
1030,0022200619,Deni Avdija,F,34.000000:48,3.0,6.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,3.0,17.0,20.0,3.0,0.0,0.0,4.0,3.0,9.0,1.0,2023-01-11
1062,0022200605,Deni Avdija,,21.000000:43,2.0,6.0,0.333,0.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,4.0,-9.0,2023-01-09
1074,0022200584,Deni Avdija,,17.000000:11,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,-11.0,2023-01-06
1099,0022200561,Deni Avdija,,28.000000:02,4.0,7.0,0.571,0.0,3.0,0.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,2.0,3.0,12.0,-11.0,2023-01-03
1126,0022200548,Deni Avdija,,28.000000:44,5.0,12.0,0.417,0.0,3.0,0.0,1.0,2.0,0.5,4.0,8.0,12.0,3.0,2.0,0.0,4.0,0.0,11.0,13.0,2023-01-01
