,GAME_ID,PLAYER_NAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DATE
5,22200793,Deni Avdija,,34:16:00,6,14,0.429,4,9,0.444,7,12,0.583,1,5,6,3,4,0,3,4,23,8,2/4/2023
40,22200787,Deni Avdija,,15:02,0,8,0,0,2,0,2,2,1,1,3,4,2,0,0,0,2,2,0,2/3/2023
5,22200760,Deni Avdija,,33:18:00,10,12,0.833,2,2,1,3,4,0.75,1,8,9,1,1,1,2,4,25,25,1/30/2023
27,22200747,Deni Avdija,,27:21:00,5,8,0.625,1,3,0.333,4,6,0.667,0,9,9,1,2,0,1,2,15,14,1/28/2023
51,22200722,Deni Avdija,,29:58:00,4,13,0.308,1,4,0.25,1,2,0.5,2,8,10,3,1,1,0,3,10,7,1/25/2023
78,22200717,Deni Avdija,,32:07:00,3,5,0.6,0,1,0,9,11,0.818,2,8,10,3,3,0,1,3,15,4,1/24/2023
117,22200693,Deni Avdija,,24:40:00,0,5,0,0,3,0,0,2,0,0,4,4,0,1,0,0,2,0,4,1/21/2023
130,22200669,Deni Avdija,,29:05:00,6,11,0.545,2,3,0.667,0,1,0,3,4,7,1,1,1,0,3,14,-11,1/18/2023
167,22200660,Deni Avdija,,13:57,3,9,0.333,0,2,0,0,0,0,2,3,5,2,0,0,2,4,6,-4,1/16/2023
195,22200634,Deni Avdija,,25:59:00,1,5,0.2,0,4,0,1,1,1,2,7,9,2,0,0,0,4,3,-2,1/13/2023
212,22200619,Deni Avdija,F,34:48:00,3,6,0.5,1,2,0.5,2,2,1,3,17,20,3,0,0,4,3,9,1,1/11/2023
244,22200605,Deni Avdija,,21:43,2,6,0.333,0,2,0,0,2,0,1,3,4,3,0,0,0,2,4,-9,1/9/2023
256,22200584,Deni Avdija,,17.000000:11,1,2,0.5,0,1,0,2,2,1,0,3,3,0,0,0,2,1,4,-11,1/6/2023
281,22200561,Deni Avdija,,28:02:00,4,7,0.571,0,3,0,4,4,1,2,2,4,3,1,0,2,3,12,-11,1/3/2023
308,22200548,Deni Avdija,,28:44:00,5,12,0.417,0,3,0,1,2,0.5,4,8,12,3,2,0,4,0,11,13,1/1/2023
335,22200529,Deni Avdija,,27:32:00,5,8,0.625,2,5,0.4,1,1,1,0,7,7,6,2,1,3,5,13,-3,12/30/2022
371,22200516,Deni Avdija,,27:11:00,3,5,0.6,1,3,0.333,1,2,0.5,1,6,7,2,0,0,3,2,8,16,12/28/2022
397,22200506,Deni Avdija,,20.000000:01,2,4,0.5,1,1,1,2,2,1,2,1,3,0,0,1,1,2,7,-5,12/27/2022
0,22200464,Deni Avdija,F,36:12:00,4,8,0.5,2,5,0.4,6,6,1,1,9,10,4,0,1,0,4,16,11,12/20/2022
22,22200451,Deni Avdija,F,21:26,3,7,0.429,2,4,0.5,0,0,0,0,3,3,1,0,1,1,1,8,2,12/18/2022
49,22200438,Deni Avdija,F,37:21:00,3,8,0.375,1,3,0.333,4,4,1,1,9,10,5,1,1,3,5,11,-17,12/17/2022
73,22200422,Deni Avdija,F,28:44:00,4,7,0.571,1,2,0.5,0,0,0,0,6,6,5,3,0,2,5,9,-17,12/14/2022
110,22200403,Deni Avdija,F,26:37:00,2,4,0.5,1,3,0.333,3,3,1,0,7,7,1,0,0,1,4,8,-3,12/12/2022
134,22200389,Deni Avdija,F,38:38:00,4,10,0.4,3,7,0.429,0,0,0,0,6,6,6,0,1,1,1,11,4,12/10/2022
145,22200378,Deni Avdija,F,39:53:00,6,11,0.545,1,5,0.2,1,2,0.5,2,7,9,4,1,0,3,4,14,-5,12/9/2022
169,22200367,Deni Avdija,F,38:52:00,4,8,0.5,0,1,0,2,3,0.667,1,4,5,6,4,0,0,2,10,-9,12/7/2022
207,22200349,Deni Avdija,F,25:10:00,3,11,0.273,1,8,0.125,0,0,0,1,7,8,1,2,1,1,3,7,-14,12/4/2022
